"Country","Region","Year_2000","Year_2020","Change"
"Nauru","Other",0.3029275940074,0.256251117055599,-0.046676476951801
"Palau","Other",0.206867640102364,0.166584835767727,-0.0402828043346375
"Spain","Western Europe",0.0780095628232972,0.0401375662134362,-0.037871996609861
"Saudi Arabia","Middle East",0.251035121008094,0.21338930259257,-0.037645818415524
"Tuvalu","Other",0.165849004827304,0.139074707000593,-0.026774297826711
"Marshall Islands","Other",0.326851477226445,0.304792781136193,-0.022058696090252
"Sudan","Other",0.12942725214481,0.108290287720542,-0.0211369644242688
"France","Western Europe",0.0496302079754398,0.0300594261330406,-0.0195707818423993
"Kiribati","Other",0.219296135243334,0.200774509079308,-0.0185216261640265
"Malawi","Other",0.0628407195055716,0.052221135126698,-0.0106195843788736
"Liberia","Other",0.110039951060257,0.0995207861354473,-0.0105191649248093
"Solomon Islands","Other",0.0764467421436542,0.0671079913755178,-0.00933875076813631
"Israel","Middle East",0.0892672074991369,0.081256659687286,-0.00801054781185082
"Denmark","Western Europe",0.0301089471352278,0.0237152750191612,-0.0063936721160666
"Seychelles","Other",0.151530978617707,0.146233570874604,-0.005297407743103
"American Samoa","Other",0.300588081840546,0.297375333382298,-0.00321274845824748
"Georgia","Other",0.0945103109826992,0.092257609199378,-0.00225270178332124
"Cabo Verde","Other",0.0896249559963131,0.0876319783998842,-0.0019929775964289
"Japan","Asia",0.0635208780214968,0.06189004509053,-0.0016308329309668
"Canada","North America",0.066860027443979,0.0668651262083126,5.09876433360534e-06
"Germany","Western Europe",0.0650943573193784,0.0659498475132014,0.000855490193823041
"Kenya","Africa",0.0527104192767601,0.0537715133522148,0.00106109407545475
"Tanzania","Africa",0.0647284784924113,0.0659019456961127,0.0011734672037014
"United Arab Emirates","Middle East",0.260956386507007,0.262975291403891,0.0020189048968835
"Turkmenistan","Other",0.152272895853942,0.154309855656094,0.00203695980215202
"Austria","Western Europe",0.0486224074404893,0.0508683901244888,0.00224598268399945
"Greenland","Other",0.0596621626469927,0.0625879718351812,0.0029258091881884
"Singapore","Asia",0.122017477851927,0.125341936592579,0.003324458740652
"Mexico","North America",0.148615916971331,0.151995910231622,0.00337999326029101
"Niger","Other",0.0587949419700527,0.0621915188605492,0.00339657689049654
"Uganda","Other",0.0452064059478995,0.0487971449961419,0.0035907390482423
"South Africa","Africa",0.135442659579795,0.139109314645005,0.00366665506521047
"Cyprus","Other",0.0678989159753961,0.0722692566719547,0.00437034069655864
"Andorra","Other",0.0673602796519464,0.0717328690422438,0.00437258939029744
"Switzerland","Western Europe",0.0372284855365452,0.0418877071970369,0.00465922166049165
"Ethiopia","Africa",0.0589837717782713,0.0650481467252108,0.00606437494693945
"Norway","Western Europe",0.0483584361134212,0.0546074182949089,0.00624898218148765
"Senegal","Other",0.0742172792198194,0.0805082809894272,0.00629100176960774
"Luxembourg","Other",0.0510980360500962,0.0579049442240616,0.0068069081739654
"Greece","Other",0.0652795717564219,0.0724721579159015,0.00719258615947956
"Zimbabwe","Other",0.102772096398564,0.111015483090804,0.00824338669223976
"Mozambique","Other",0.0643383374061962,0.0739526139740667,0.00961427656787053
"Comoros","Other",0.0484720020238013,0.0583011334072426,0.0098291313834413
"Rwanda","Other",0.04084567533985,0.0514514487552166,0.0106057734153666
"Iceland","Other",0.039708484659897,0.0509722333354238,0.0112637486755267
"Sweden","Western Europe",0.0372073466610762,0.0488149881298637,0.0116076414687875
"Netherlands","Western Europe",0.0487583465349226,0.0607995459053726,0.01204119937045
"Niue","Other",0.224856876089168,0.236958046503942,0.012101170414773
"Lesotho","Other",0.0597001297745234,0.0721194467776601,0.0124193170031367
"Botswana","Other",0.0739275835434222,0.0865386695588665,0.0126110860154443
"Malta","Other",0.0816098541676137,0.0946837476644,0.0130738934967864
"Samoa","Other",0.153494099699916,0.16738808989597,0.013893990196054
"Venezuela","South America",0.0943051044943506,0.108777976959665,0.014472872465314
"South Sudan","Other",0.0681344726521897,0.0830368189261174,0.0149023462739277
"French Polynesia","Other",0.149385935450714,0.164640159367214,0.0152542239165005
"Djibouti","Other",0.0677332240544219,0.0831301963831934,0.0153969723287714
"Madagascar","Other",0.0676299990277449,0.0831078619176533,0.0154778628899083
"Jordan","Middle East",0.170720034450792,0.186340906300092,0.0156208718492995
"Burundi","Other",0.0677235715697901,0.0834045428716056,0.0156809713018155
"DR Congo","Other",0.0732395443880685,0.089908574518313,0.0166690301302445
"South Korea","Asia",0.0822688682326621,0.0991999686702935,0.0169311004376314
"Eritrea","Other",0.0640131971506965,0.0811551513250788,0.0171419541743823
"Taiwan","Other",0.0829414294111136,0.100437750470529,0.0174963210594153
"Portugal","Western Europe",0.0548735675612985,0.0724593304791759,0.0175857629178774
"Italy","Western Europe",0.0514787661807175,0.0697497902493152,0.0182710240685977
"Czechia","Other",0.05611323537893,0.0744899738972848,0.0183767385183548
"Cook Islands","Other",0.263268883642861,0.282915374651997,0.019646491009135
"Somalia","Other",0.0759614098974669,0.0958424610586547,0.0198810511611878
"Panama","Other",0.0659970582877977,0.085893547659269,0.0198964893714713
"Kazakhstan","Other",0.0772803466870178,0.0977011574817937,0.0204208107947759
"Namibia","Other",0.08209817078423,0.104288834409283,0.022190663625053
"Russian Federation","Other",0.0537015091765397,0.0759515503823437,0.0222500412058041
"Mali","Other",0.0553274390449382,0.0791627744567312,0.023835335411793
"Timor-Leste","Other",0.0400207606235653,0.0647722143402224,0.0247514537166571
"Argentina","South America",0.0776696798461788,0.102500970756514,0.0248312909103352
"New Zealand","Oceania",0.060341112426342,0.0852383241577868,0.0248972117314448
"Finland","Western Europe",0.0444744952375989,0.0695555064411293,0.0250810112035304
"Belarus","Other",0.0462511966939959,0.0713776925841837,0.0251264958901879
"Belgium","Western Europe",0.036274381016834,0.0614663221643582,0.0251919411475241
"Armenia","Other",0.0863635693082369,0.111624654287001,0.0252610849787641
"Ukraine","Eastern Europe",0.0560191862892358,0.0814244112494247,0.0254052249601889
"Tokelau","Other",0.288412349030891,0.314339950562439,0.0259276015315485
"Cuba","Other",0.0886358242189459,0.116215348332261,0.0275795241133151
"Congo","Other",0.0971271297709236,0.124818578255247,0.0276914484843229
"Eswatini","Other",0.085324225475663,0.113385827754111,0.0280616022784479
"Ireland","Western Europe",0.0438657189103299,0.0720661842349827,0.0282004653246529
"Slovakia","Eastern Europe",0.0533939356737634,0.0829110043468816,0.0295170686731182
"Moldova","Other",0.0562682203375064,0.0862717374870434,0.0300035171495369
"Kyrgyzstan","Other",0.0817395882278323,0.112048182403175,0.0303085941753427
"Australia","Oceania",0.0438552007856342,0.0754671960146569,0.0316119952290227
"Equatorial Guinea","Other",0.0969483489208888,0.129004033020542,0.0320556840996527
"Latvia","Other",0.0539576977722193,0.0863778740711105,0.0324201762988911
"Croatia","Eastern Europe",0.0530974987253971,0.0861454793233652,0.0330479805979681
"Gabon","Other",0.0965145801387822,0.129886657717818,0.0333720775790363
"Nigeria","Africa",0.0692518813528039,0.102718854044279,0.033466972691475
"Papua New Guinea","Oceania",0.176116144694736,0.209987713822881,0.0338715691281445
"Estonia","Other",0.0463053576037429,0.0805952189640499,0.0342898613603069
"Azerbaijan","Other",0.0924324342408517,0.126966275500577,0.0345338412597257
"United Kingdom","Western Europe",0.0473940009058724,0.0822248906486628,0.0348308897427904
"Togo","Other",0.0534207987238051,0.0885629569719368,0.0351421582481318
"Guinea","Other",0.0606645738040576,0.0958325657251824,0.0351679919211248
"Bhutan","Other",0.115676325783253,0.151783989861358,0.0361076640781055
"Lithuania","Other",0.0691319461517224,0.105378825202931,0.0362468790512081
"Tajikistan","Other",0.0955948036613956,0.133253199816223,0.0376583961548279
"Chad","Other",0.0683006788207608,0.106026623668597,0.0377259448478362
"Cote d'Ivoire","Other",0.0685205842092732,0.106350733484801,0.0378301492755278
"Tonga","Other",0.19148432537712,0.229333097305458,0.037848771928338
"Guinea Bissau","Other",0.0683460596122712,0.10639822562566,0.0380521660133888
"Hungary","Eastern Europe",0.0683102173877947,0.106383973750178,0.038073756362383
"Sierra Leone","Other",0.0685875843346782,0.106805559424848,0.0382179750901698
"State of Palestine","Other",0.15894767107062,0.197415471373213,0.0384678003025935
"El Salvador","Other",0.0847933084002706,0.123940680282867,0.0391473718825964
"United States of America","North America",0.0787658942774256,0.118620899971851,0.0398550056944259
"Thailand","Asia",0.0743060241023475,0.11484146126109,0.0405354371587425
"China","Asia",0.0619518748847583,0.102750065452356,0.0407981905675979
"Montenegro","Other",0.0597482610620132,0.100673062972911,0.0409248019108982
"Bulgaria","Eastern Europe",0.0592738446853144,0.1002156573192,0.0409418126338853
"Slovenia","Other",0.0595613860090312,0.100563245177843,0.0410018591688122
"Serbia","Eastern Europe",0.0595967604053359,0.100982673027973,0.0413859126226372
"Ghana","Africa",0.0529842745241641,0.0944263208892555,0.0414420463650914
"Albania","Other",0.0598178119047341,0.10126310381559,0.0414452919108557
"Uruguay","South America",0.0929340931020625,0.135102559106461,0.042168466004399
"North Macedonia","Other",0.059917903219494,0.10215723325814,0.0422393300386464
"Mauritania","Other",0.0656395988238704,0.108002126849169,0.0423625280252981
"Lao PDR","Other",0.0584695122308118,0.102824022456101,0.044354510225289
"Brazil","South America",0.0752210273791536,0.120018944254414,0.0447979168752608
"Saint Vincent and the Grenadines","Other",0.0943849400914692,0.139820208317738,0.0454352682262688
"Central African Republic","Other",0.137408850269685,0.183723047861766,0.0463141975920805
"Viet Nam","Other",0.0471772258689474,0.0937830321453803,0.0466058062764329
"Poland","Eastern Europe",0.0520525506782155,0.0993027632342174,0.0472502125560018
"Colombia","South America",0.0702730071822392,0.118680204001328,0.0484071968190889
"Gambia","Other",0.073763787549908,0.123264309791612,0.0495005222417035
"Cambodia","Other",0.042917669372231,0.0925159352378823,0.0495982658656513
"Tunisia","Africa",0.103440586595822,0.153108331910036,0.049667745314214
"Paraguay","Other",0.0855624292199644,0.135601078642581,0.0500386494226161
"Bahrain","Other",0.161975094543052,0.21275303130841,0.0507779367653575
"Nicaragua","Other",0.0884080344919433,0.139212642909103,0.0508046084171592
"Syrian Arab Republic","Other",0.16224300993251,0.213458513612505,0.0512155036799955
"Morocco","Africa",0.13192583244866,0.183373159116038,0.051447326667377
"Bosnia and Herzegovina","Other",0.0715497092878571,0.123084798568601,0.0515350892807444
"Myanmar","Other",0.0724938396069699,0.125256697391491,0.0527628577845212
"Ecuador","South America",0.064923780398384,0.117942765763967,0.053018985365583
"Bangladesh","Asia",0.120113191960399,0.17325696571955,0.053143773759151
"Chile","South America",0.0786143991481404,0.132434584294188,0.0538201851460471
"Kuwait","Middle East",0.206080862426479,0.260063826140943,0.0539829637144635
"Lebanon","Middle East",0.134808999012914,0.189091858602223,0.054282859589309
"North Korea","Other",0.0686303458138413,0.123377586599473,0.0547472407856313
"Honduras","Other",0.0720117849243909,0.127485989439271,0.0554742045148797
"Angola","Other",0.121282528269279,0.176825105381404,0.0555425771121245
"Zambia","Other",0.0578160698448958,0.113934637409013,0.0561185675641176
"Algeria","Africa",0.124898168861081,0.181090026424976,0.056191857563895
"Mongolia","Other",0.0783000185077242,0.135524850874762,0.0572248323670373
"Nepal","Other",0.0901419390048621,0.147815436699854,0.0576734976949914
"Benin","Other",0.0492101365525532,0.108607176970655,0.0593970404181018
"Yemen","Other",0.115850269815917,0.175534208282652,0.0596839384667355
"Burkina Faso","Other",0.0478025879253658,0.107747973472486,0.0599453855471201
"Oman","Other",0.166644267427997,0.227083914457692,0.0604396470296945
"Indonesia","Asia",0.0501607611825916,0.112143108509268,0.0619823473266765
"Iran","Middle East",0.0832701337505567,0.145654765455706,0.0623846317051493
"Philippines","Asia",0.0542850052947367,0.116788192037334,0.0625031867425968
"Mauritius","Other",0.17804619529173,0.241998205145102,0.0639520098533715
"Turkiye","Other",0.0942958845172939,0.15862625109035,0.0643303665730561
"Qatar","Other",0.189383348105944,0.254404260842741,0.0650209127367966
"Bahamas","Other",0.116615455168014,0.182413282011757,0.065797826843743
"Sao Tome and Principe","Other",0.0796593713229347,0.147353823039941,0.0676944517170067
"Barbados","Other",0.149057236419088,0.217056780942626,0.0679995445235375
"Brunei Darussalam","Other",0.113513897920948,0.183352868728198,0.0698389708072495
"Maldives","Other",0.0647021687009129,0.137046346346097,0.0723441776451846
"Puerto Rico","Other",0.143791852114229,0.2162824244796,0.072490572365372
"Bolivia","South America",0.086767666630271,0.161313723198318,0.074546056568047
"India","Asia",0.1367836987719,0.211469614971625,0.0746859161997245
"Saint Kitts and Nevis","Other",0.119348537154925,0.194135782570332,0.0747872454154065
"Dominica","Other",0.146917377818428,0.222482340230434,0.075564962412006
"Grenada","Other",0.119064745326359,0.194690713029774,0.075625967703414
"Belize","Other",0.105780652483312,0.181406784151573,0.0756261316682608
"Suriname","Other",0.12393552807239,0.199567269095123,0.075631741022733
"Antigua and Barbuda","Other",0.118402989372107,0.194097294003067,0.0756943046309595
"Guatemala","Other",0.116519432271167,0.192387808363697,0.0758683760925295
"Bermuda","Other",0.118793499064556,0.195369215292111,0.0765757162275555
"Saint Lucia","Other",0.108881281799866,0.187498857883224,0.0786175760833574
"Romania","Eastern Europe",0.0349022415250917,0.116500402291559,0.0815981607664673
"Federated States of Micronesia","Other",0.243754619984441,0.328589954418192,0.0848353344337515
"Guyana","Other",0.125460450755185,0.21070141654904,0.085240965793854
"Dominican Republic","Other",0.0784714418573744,0.164542415880608,0.0860709740232331
"Fiji","Oceania",0.140002287939206,0.228518953264925,0.0885166653257185
"Uzbekistan","Other",0.0793337259887194,0.170124994825012,0.0907912688362926
"Iraq","Middle East",0.154124037992703,0.245098046703584,0.0909740087108805
"Libya","Other",0.176652041877743,0.27342026939594,0.096768227518197
"Haiti","Other",0.127687377847104,0.225180873452277,0.097493495605173
"Cameroon","Other",0.0538838046454379,0.157379553618315,0.103495748972877
"Afghanistan","Other",0.130573313039931,0.235530949435824,0.104957636395893
"Trinidad and Tobago","Other",0.163591676169069,0.271924285346958,0.108332609177889
"Peru","South America",0.0403479654766453,0.149711885624364,0.109363920147719
"Vanuatu","Other",0.0885393401922635,0.210109536866542,0.121570196674279
"Jamaica","Other",0.102178048139118,0.2293455233973,0.127167475258182
"Egypt","Africa",0.135017534563134,0.262372232089353,0.127354697526219
"Malaysia","Asia",0.116091589639433,0.243702304897428,0.127610715257995
"Sri Lanka","Other",0.0969249792369049,0.227742089304554,0.130817110067649
"Costa Rica","Other",0.0865350056580412,0.217639289275858,0.131104283617816
"Pakistan","Asia",0.126300266265095,0.285404635101021,0.159104368835926
